Unnamed: 0,sentences,generated_labels
438,Alonso also claimed fastest lap along with his pole and victory.,Thing
439,"The Roots have received the most nominations without a win, with five.",Idea
440,"The locals were actually hunting the caribou, for a sport and a food source.",Place
441,"Chavez utilizes angular, asymmetrical riffs and dramatic dynamic shifts.",Idea
442,"Although he tries to resist, he eventually succumbs to the lure of money.",Idea
443,"IronMind's slogan, ""Stronger Minds, Stronger Bodies,"" reflects the company's roots in sports psychology.",Idea
444,The current summit cone was developed within the earlier caldera.,Place
445,"The book ends with Amory's iconic lament, ""I know myself, but that is all"".",Idea
446,Medieval Sarum also seems to have had industrial facilities such as kilns and furnaces.,Place
447,The server software runs equally well on Unix and Windows.,Place
448,Beaver Lake and Pine Lake are the two biggest lakes in Sammamish.,Place
449,He was very outspoken about freedom and doing what you want.,Idea
450,"It is also the study of cataloguing and accession, of retrieval and safe handling.","I would label the sentence as ""Idea."""
451,The new cover hardens more or less quickly.,Thing
452,"Some of them affect security in all its forms: political, material and economic.",Idea
453,I had to punished them with the spurs for a faster pace.,Thing
454,"A comprehensive school is located in Benndorf, the nearest grammar school is in Hettstedt.",Place
455,Her father was an engineer and her mother an accountant.,Person
456,It borders the state of Nebraska.,Place
457,"A variant name is ""Sharps Creek"".",Place
458,She was an American socialite and first lady of the United States.,Person
459,She was at no pains to wear a mask.,I would label this sentence as an Idea.
460,As you have done so many years.,"Here is the labeling of each sentence:

1. ""I went to the store to buy groceries."" - Place
2. ""The book I'm reading is very interesting."" - Thing
3. ""Honesty is an important value to uphold."" - Idea
4. ""Sarah loves to go swimming in the pool."" - Person
5. ""The concept of time travel is intriguing."" - Idea
6. ""Can you pass me the remote control?"" - Thing
7. ""The trees in the park are beautiful in the fall."" - Thing
8. ""Learning a new language can be challenging."" - Idea"
461,Break down a big job into small tasks to complete it fast.,Idea
462,Do we have to?,"Sure, I can help with that. Just provide me with the sentences and I will label each one accordingly."
463,Payne returned to Indiana University where he was made associate professor.,Place
464,"More recently, Lance Klusener and Monty Panesar have been notable players.",Person
465,Another example is the oil pan of an engine.,Thing
466,The Ansonia Rescue Medical Service provides ambulance and rescue services to the city.,Place
467,"Also, no allegation of counting fraud were brought up.","The sentence ""Also, no allegation of counting fraud were brought up."" can be labeled as (Idea)."
468,Bitburg Middle-High School offers many Advanced Placement courses through the College Board program.,Place
469,The lake is a popular fishing destination in the region.,Place
470,"They became Tottenham Hotspur's nearest club, commencing the North London derby.",Place
471,Isotope dilution can be likened to Lincoln-Petersen method.,Idea
472,His grandnephew was the Irish musician and music collector Arthur Warren Darley.,Person
473,"The Byzantine chronicler, Chalcondyles, wrote: In this battle, Arianit Komneni won a glorious victory.",Thing
474,"The island is mentioned by the Roman satirist, Juvenal, in Sat.",Place
475,"The first Class newsletter, ""Jet Blasts,"" was published and a regatta schedule was created.",Thing
476,Camping and fires are not permitted within the park.,"I would label the sentence as ""Idea""."
477,Only if the spam continued after this complaint was the source listed.,"I would label the sentence as an ""Idea""."
478,Was any one inside the car?,I would label this sentence as (Idea).
479,"Do your duty, but be careful not to overstep it.",Idea
480,"‘No, I don’t think it is,’ he said: ‘at least—not under here’.","1. 'No, I don’t think it is,’ he said. - Idea
2. ‘at least—not under here’. - Place"
481,"""We can't go back now,"" said Adele in a frantic whisper.",I would label this sentence as a Person because it is spoken by Adele.
482,"Linz was born in Bonn, Germany.",Place
483,The original station building was designed by Thomas Mainwaring Penson.,Place
484,"Friedman would not stop, and called Lisandro a ""thief"".",Idea
485,It would also stand to foreshadow several future conflicts between the Ottomans and Russia.,Idea
486,"The former route was named Old Saint Charles Rock Road, now Boenker Road.",Place
487,He divorced her eight days later in order to marry Samantha Lewthwaite.,"This sentence can be labeled as ""Person""."
488,"In addition, the town is served by Kankan Airport.",Place
489,It is located in Currie Street in the Adelaide central business district.,Place
490,"Julius was a consulting engineer, based in Sydney.","This sentence can be labeled as: 
Person"
491,"The species differ in skull proportions, skull punctuation and skull bone patterns.",Place
492,The underbody may be weighted with lead or tungsten wire.,Thing
493,"During his first term, Deukmejian won the voters' approval.",I would label this sentence as (Idea).
494,"After that foul, the whole stadium was yelling angry things.",Person
495,The winner of the game then moves on to the final round.,Thing
496,They were quite clean.,"This sentence could be labeled as a (Thing) since ""clean"" describes the state of something (e.g., a surface, a room, etc.)."
497,"Her father, Walter was a dentist.",Person
498,The store became a regional Iconic Consumer brand.,Idea
499,The official residence for Deputy Prime Minister of Malaysia is Sri Satria in Putrajaya.,Place
500,These geological features are what are chiefly seen along San Andreas Fault.,Place
